indice_tiempo_instruccion,fecha_zarpada,pais_zarpada_id,pais_zarpada_nombre,puerto_zarpada_nombre,puerto_zarpada_latitud,puerto_zarpada_longitud,indice_tiempo_arribo,pais_arribo_id,pais_arribo_nombre,puerto_arribo_nombre,puerto_arribo_latitud,puerto_arribo_longitud,dias_navegacion,dias_puerto,millas_nauticas
1963,1963-06-19,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1963-07-02,203,Republica Federativa de Brasil,Recife,-08° 02´ 01´´ (S),-034° 52´ 29´´ (W),13,3,2349
1963,1963-07-05,203,Republica Federativa de Brasil,Recife,-08° 02´ 01´´ (S),-034° 52´ 29´´ (W),1963-07-18,223,Estado Libre Asociado de Puerto Rico,Municipio Autonomo de San Juan,+18° 27´ 27´´ (N),-066° 12´ 32´´ (W),13,4,2253
1963,1963-07-22,223,Estado Libre Asociado de Puerto Rico,Municipio Autonomo de San Juan,+18° 27´ 27´´ (N),-066° 12´ 32´´ (W),1963-07-30,212,Estados Unidos de America,Boston,+42° 21´ 00´´ (N),-071° 04´ 59´´ (W),8,5,1380
1963,1963-08-04,212,Estados Unidos de America,Boston,+42° 21´ 00´´ (N),-071° 04´ 59´´ (W),1963-08-08,663,Bermudas,Hamilton,+32° 16´ 59´´ (N),-064° 46´ 00´´ (W),4,7,754
1963,1963-08-15,663,Bermudas,Hamilton,+32° 16´ 59´´ (N),-064° 46´ 00´´ (W),1963-08-24,425,Republica Portuguesa,Lisboa,+38° 42´ 52´´ (N),-009° 09´ 40´´ (W),9,5,2852
1963,1963-08-29,425,Republica Portuguesa,Lisboa,+38° 42´ 52´´ (N),-009° 09´ 40´´ (W),1963-09-04,412,Republica Francesa,Le Havre,+49° 29´ 09´´ (N),+000° 06´ 25´´ (E),6,9,940
1963,1963-09-13,412,Republica Francesa,Le Havre,+49° 29´ 09´´ (N),+000° 06´ 25´´ (E),1963-09-16,438,Republica Federal de Alemania,Hamburgo,+53° 32´ 51´´ (N),+009° 58´ 09´´ (E),3,14,570
1963,1963-09-30,438,Republica Federal de Alemania,Hamburgo,+53° 32´ 51´´ (N),+009° 58´ 09´´ (E),1963-10-03,426,Reino Unido de Gran Bretania e Irlanda del Norte,Londres,+51° 30´ 27´´ (N),-000° 07´ 20´´ (W),3,6,453
1963,1963-10-09,426,Reino Unido de Gran Bretania e Irlanda del Norte,Londres,+51° 30´ 27´´ (N),-000° 07´ 20´´ (W),1963-10-16,410,Reino de Espania,Cadiz,+36° 31´ 21´´ (N),-006° 16´ 53´´ (W),7,6,1621
1963,1963-10-22,410,Reino de Espania,Cadiz,+36° 31´ 21´´ (N),-006° 16´ 53´´ (W),1963-10-30,134,Republica de Senegal,Dakar,+14° 40´ 56´´ (N),-017° 26´ 26´´ (W),8,3,1639
